Timestamp,Open,High,Low,Close,Volume,OI
2024-11-13T09:15:00+05:30,35.25,42.05,35,35.9,14575,631625
2024-11-13T09:16:00+05:30,35.25,37.8,34.3,34.5,32975,631625
2024-11-13T09:17:00+05:30,33.95,35.15,33,33.75,15525,631625
2024-11-13T09:18:00+05:30,34.1,35.1,33.75,34.2,22550,634650
2024-11-13T09:19:00+05:30,35.05,36.95,34.05,36.95,13300,634650
2024-11-13T09:20:00+05:30,37,40.95,37,40.3,20100,634650
2024-11-13T09:21:00+05:30,41.2,41.2,36.3,36.3,10450,639975
2024-11-13T09:22:00+05:30,36.2,36.95,33.5,33.8,20225,639975
2024-11-13T09:23:00+05:30,34.3,34.45,31.35,31.85,33125,639975
2024-11-13T09:24:00+05:30,31.7,33.65,30.85,33.65,14225,645475
2024-11-13T09:25:00+05:30,33.7,34.1,32.3,34.1,5925,645475
2024-11-13T09:26:00+05:30,34.7,36.35,34.7,36.35,5700,645475
2024-11-13T09:27:00+05:30,36,39,35.4,39,18775,643325
2024-11-13T09:28:00+05:30,37.95,38.75,36.5,38.5,5450,643325
2024-11-13T09:29:00+05:30,37.95,42.4,37.5,42.4,19600,643325
2024-11-13T09:30:00+05:30,41.85,43,37.5,39.2,40575,648675
2024-11-13T09:31:00+05:30,39.25,39.25,34.6,34.6,27825,648675
2024-11-13T09:32:00+05:30,36.3,38.9,36.3,37.6,11000,648675
2024-11-13T09:33:00+05:30,37.9,40.05,37.8,38.75,13150,665175
2024-11-13T09:34:00+05:30,38.25,45,37.55,44.6,23575,665175
2024-11-13T09:35:00+05:30,44.4,44.7,40.15,40.95,18850,665175
2024-11-13T09:36:00+05:30,41.3,43.95,39.7,43.8,42350,671575
2024-11-13T09:37:00+05:30,43.75,44,41.7,42.6,37800,671575
2024-11-13T09:38:00+05:30,42.55,43.4,41.75,41.85,17725,671575
2024-11-13T09:39:00+05:30,42.45,44.85,42.45,44.85,4350,679775
2024-11-13T09:40:00+05:30,43.85,45.3,43.4,45.1,11900,679775
2024-11-13T09:41:00+05:30,44.9,46.95,43.65,44.85,20700,679775
2024-11-13T09:42:00+05:30,44.9,47.25,44.35,46.8,20725,678150
2024-11-13T09:43:00+05:30,46.9,49.9,46.3,49.9,11500,678150
2024-11-13T09:44:00+05:30,50,51.6,49.25,51.2,30225,678150
2024-11-13T09:45:00+05:30,51,52.45,49.8,51,21325,678500
2024-11-13T09:46:00+05:30,51.8,53.7,50.35,52,40250,678500
2024-11-13T09:47:00+05:30,52.25,57.35,52.2,56.15,22800,678500
2024-11-13T09:48:00+05:30,56.45,59.45,52.75,52.75,64300,695525
2024-11-13T09:49:00+05:30,53.2,60.45,53.2,58,56550,695525
2024-11-13T09:50:00+05:30,57.3,57.6,52.1,52.8,36900,695525
2024-11-13T09:51:00+05:30,52.35,53.2,47.05,47.05,30275,725575
2024-11-13T09:52:00+05:30,46.55,50.1,42.25,48.35,63925,725575
2024-11-13T09:53:00+05:30,48.75,50.4,47.35,49.65,46000,725575
2024-11-13T09:54:00+05:30,48.85,50.5,48.75,49.25,17250,731675
2024-11-13T09:55:00+05:30,48.8,49.9,47.2,49.9,9325,731675
2024-11-13T09:56:00+05:30,49.3,50,47.85,48.75,9950,731675
2024-11-13T09:57:00+05:30,48.7,50,45.55,47.1,16700,743200
2024-11-13T09:58:00+05:30,47.1,50.45,47.1,50.1,10800,743200
2024-11-13T09:59:00+05:30,49.25,49.25,45.3,45.3,21950,743200
2024-11-13T10:00:00+05:30,44.85,46.2,44.35,45.45,11975,750900
2024-11-13T10:01:00+05:30,44.7,47.1,43.5,46.3,13350,750900
2024-11-13T10:02:00+05:30,46.8,48.15,46.45,46.95,9325,750900
2024-11-13T10:03:00+05:30,47.7,48.7,46.7,47.05,13650,758025
2024-11-13T10:04:00+05:30,47.1,50,46.4,49.95,35250,758025
2024-11-13T10:05:00+05:30,50.1,52.75,50.1,52.5,25175,758025
2024-11-13T10:06:00+05:30,52.4,53.8,50.55,53.75,28450,762100
2024-11-13T10:07:00+05:30,53.4,58,53,57.25,28100,762100
2024-11-13T10:08:00+05:30,56.05,56.55,52.75,52.75,37675,762100
2024-11-13T10:09:00+05:30,54.65,55.5,53.6,54.6,9825,794500
